,Age,Gender,City,Position,Years of experience,Seniority level,Salary_in_EUR,Main language at work,Company size,Company type,Year
0,43,Male,MÜNCHEN,QA INGENIEUR,11.0,SENIOR,77000.0,Deutsch,100-1000,PRODUCT,2018
1,33,Female,MÜNCHEN,SENIOR PHP MAGENTO DEVELOPER ,8.0,SENIOR,65000.0,Deutsch,50-100,PRODUCT,2018
2,32,Male,MÜNCHEN,SOFTWARE ENGINEER,10.0,SENIOR,88000.0,Deutsch,1000+,PRODUCT,2018
3,25,Male,MÜNCHEN,SENIOR FRONTEND DEVELOPER,6.0,SENIOR,78000.0,English,1000+,PRODUCT,2018
4,39,Male,MÜNCHEN,UX DESIGNER,10.0,SENIOR,69000.0,English,100-1000,ECOM RETAILER,2018
5,37,Male,MÜNCHEN,PROJECT MANAGER,8.0,SENIOR,98000.0,Deutsch,1000+,INSURANCE,2018
6,32,Male,BERLIN,SENIOR ANDROID DEVELOPER,5.0,SENIOR,65000.0,English,1000+,PRODUCT,2018
7,36,Female,MÜNCHEN,DATA SCIENCE TEAM LEAD,8.0,SENIOR,109000.0,English,1000+,PRODUCT,2018
8,32,Male,BERLIN,TEST AUTOMATION ENGINEER,3.0,SENIOR,65000.0,English,100-1000,STARTUP,2018
9,30,Male,MÜNCHEN,FRONTEND DEVELOPER,8.0,SENIOR,60000.0,Deutsch,100-1000,AGENCY,2018
10,40,Male,BERLIN,SOFTWARE ENGINEER,18.0,SENIOR,70000.0,English,100-1000,PRODUCT,2018
11,33,Male,KARLSRUHE,SENIOR FULL-STACK .NET DEVELOPER,8.0,SENIOR,70000.0,English,100-1000,PRODUCT,2018
12,31,Female,BERLIN,QA LEAD,8.5,SENIOR,55000.0,English,10-50,STARTUP,2018
13,29,Male,BERLIN,FRONT-END ENGINEER,6.0,MIDDLE,55000.0,English,100-1000,PRODUCT,2018
14,32,Male,MÜNCHEN,SOFTWARE DEVELOPER,11.0,MIDDLE,94500.0,Russian,1000+,PRODUCT,2018
15,25,Female,MÜNCHEN,QA TEST ENGINEER,3.0,JUNIOR,46000.0,English,100-1000,STARTUP,2018
16,33,Male,MÜNCHEN,QA MANAGER,11.0,SENIOR,68000.0,Deutsch,1000+,PRODUCT,2018
17,24,Male,HAMBURG,SOFTWARE ENGINEER,4.0,MIDDLE,60000.0,English,1000+,PRODUCT,2018
18,44,Male,BERLIN,FRONTEND DEVELOPER,17.0,SENIOR,62500.0,Deutsch,10-50,AGENCY,2018
19,37,Male,BERLIN,CTO,19.0,SENIOR,80000.0,English,50-100,STARTUP,2018
20,29,Male,MÜNCHEN,CLOUD CONSULTING,10.0,SENIOR,132250.0,English,1000+,BIG TECH,2018
21,34,Female,BERLIN,QA,10.0,SENIOR,53000.0,English,100-1000,STARTUP,2018
22,28,Male,MÜNCHEN,FRONTEND ENGINEER,5.0,MIDDLE,52000.0,English,100-1000,PRODUCT,2018
23,35,Male,BERLIN,HEAD OF IT,10.0,SENIOR,95000.0,English,10-50,CONSULTANCY,2018
24,32,Male,MÜNCHEN,SENIOR SOFTWARE ENGINEER,4.0,SENIOR,72000.0,English,1000+,AGENCY,2018
25,40,Female,MÜNCHEN,OPERATIONS MANAGER,15.0,MIDDLE,55000.0,English,100-1000,PRODUCT,2018
26,39,Male,MÜNCHEN,FRONTEND DEVELOPER,15.0,SENIOR,77000.0,English,100-1000,PRODUCT,2018
27,38,Male,MÜNCHEN,PRODUCT MANAGER,12.0,SENIOR,72000.0,English,100-1000,PRODUCT,2018
28,28,Male,MÜNCHEN,SOFTWARE ENGINEER ( REACT/REACT-NATIVE ),8.0,SENIOR,80000.0,English,50-100,PRODUCT,2018
29,31,Male,BERLIN,IOS DEVELOPER ,5.0,MIDDLE,66000.0,English,1000+,PRODUCT,2018
30,39,Male,BERLIN,SENIOR DEVOPS,10.0,MIDDLE,75800.0,Deutsch,1000+,CORPORATION,2018
31,35,Female,MÜNCHEN,SOFTWARE ENGINEER,12.0,SENIOR,84000.0,English,100-1000,STARTUP,2018
32,32,Male,MÜNCHEN,C# DEVELOPER,10.0,SENIOR,60000.0,English,50-100,PRODUCT,2018
33,27,Male,AUGSBURG ,ERP/BI SPECIALIST,4.0,MIDDLE,57000.0,Deutsch,100-1000,PRODUCT,2018
34,32,Male,MÜNCHEN,FULL STACK DEVELOPER,2.0,JUNIOR,58000.0,English,100-1000,PRODUCT,2018
35,31,Male,MÜNCHEN,SYSTEMS ADMINISTRATOR,1.0,JUNIOR,36000.0,English,50-100,STARTUP,2018
36,31,Male,MÜNCHEN,SENIOR SOFTWARE DEVELOPER,10.0,SENIOR,70000.0,English,100-1000,PRODUCT,2018
37,32,Male,MÜNCHEN,C++ DEVELOPER,10.0,SENIOR,72000.0,English,100-1000,PRODUCT,2018
38,35,Male,MÜNCHEN,PROJECT MANAGER,5.0,MIDDLE,75000.0,English,100-1000,PRODUCT,2018
39,33,Male,MÜNCHEN,PM,9.0,MIDDLE,90000.0,Deutsch,1000+,PRODUCT,2018
40,32,Male,MÜNCHEN,ANDROID DEVELOPER,7.0,SENIOR,69000.0,English,100-1000,PRODUCT,2018
41,41,Male,MÜNCHEN,SOFTWARE ARCHITECT,20.0,SENIOR,113000.0,Deutsch,100-1000,STARTUP,2018
42,32,Male,MÜNCHEN,SENIOR FRONTEND DEVELOPER,10.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
43,30,Male,MÜNCHEN,EMBEDDED SOFTWARE ENGINEER,7.0,MIDDLE,75000.0,English,50-100,PRODUCT,2018
44,24,Female,MÜNCHEN,IOS DEVELOPER,3.0,MIDDLE,57000.0,Russian,100-1000,PRODUCT,2018
45,43,Male,BERLIN,DATA ENGINEER,10.0,SENIOR,84000.0,English,50-100,PRODUCT,2018
46,28,Male,MÜNCHEN,IOS DEVELOPER,6.0,SENIOR,70000.0,English,1000+,PRODUCT,2018
47,29,Male,BREMEN,SOFTWARE ENGINEER,1.0,JUNIOR,55000.0,Deutsch,10-50,PRODUCT,2018
48,32,Male,MÜNCHEN,PHP DEVELOPER,6.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
49,31,Male,FRANKFURT,RUBY DEVELOPER,11.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
50,33,Male,BERLIN,FRONTEND DEVELOPER,10.0,SENIOR,70000.0,English,10-50,STARTUP,2018
51,29,Male,BERLIN,EMBEDDED ENGINEER,7.0,MIDDLE,50000.0,English,up to 10,PRODUCT,2018
52,28,Male,MÜNCHEN,JAVA FULLSTACK DEVELOPER,7.5,MIDDLE,65000.0,Deutsch,50-100,AGENCY,2018
53,32,Male,MÜNCHEN,SENIOR SOFTWARE DEVELOPER,10.0,SENIOR,78000.0,English,10-50,STARTUP,2018
54,26,Female,REGENSBURG,MOBILE APP DEVELOPER,1.0,JUNIOR,60000.0,Deutsch,1000+,PRODUCT,2018
55,34,Male,HAMBURG,SCALA DEVELOPER,10.0,SENIOR,71000.0,English,50-100,STARTUP,2018
56,29,Male,MÜNCHEN,DEVOPS,9.0,SENIOR,75000.0,Deutsch,100-1000,PRODUCT,2018
57,27,Female,FRANKFURT,CONSULTANT,1.0,JUNIOR,49000.0,English,1000+,CONSULTANCY,2018
58,28,Male,HAMBURG,RUBY DEVELOPER,4.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
59,34,Male,MÜNCHEN,BA/PM,10.0,SENIOR,68000.0,English,10-50,PRODUCT,2018
60,35,Male,MÜNCHEN,DEVOPS ENGINEER,10.0,SENIOR,56000.0,English,50-100,PRODUCT,2018
61,32,Female,BERLIN,QA,3.0,JUNIOR,30000.0,English,50-100,PRODUCT,2018
62,32,Male,MÜNCHEN,C++ SOFTWARE ENGINЕER,11.0,SENIOR,72000.0,English,up to 10,PRODUCT,2018
63,32,Female,FRANKFURT,SOFTWARE DEVELOPER,4.0,MIDDLE,65000.0,English,100-1000,PRODUCT,2018
64,29,Male,FRANKFURT,IOS DEVELOPER,5.0,MIDDLE,45000.0,English,up to 10,AGENCY,2018
65,36,Female,MÜNCHEN,AUTOMATION QA,4.0,MIDDLE,55000.0,English,1000+,PRODUCT,2018
66,29,Male,LISBON,IOS DEVELOPER,6.0,MIDDLE,40000.0,English,1000+,PRODUCT,2018
67,25,Male,FRANKFURT,FRONTEND DEVELOPER,5.0,MIDDLE,66000.0,English,100-1000,AGENCY,2018
68,32,Male,FRANKFURT,SOFTWARE ENGINEER,7.0,SENIOR,66000.0,English,100-1000,PRODUCT,2018
69,32,Female,HAMBURG,JAVA DEVELOPER,5.0,MIDDLE,54000.0,English,100-1000,PRODUCT,2018
70,25,Male,MÜNCHEN,BACKEND DEVELOPER,3.0,SENIOR,60000.0,Russian,10-50,STARTUP,2018
71,32,Male,BERLIN,FRONTEND DEVELOPER,6.0,MIDDLE,50000.0,English,10-50,PRODUCT,2018
72,29,Male,BERLIN,SDET,7.0,SENIOR,60000.0,English,1000+,PRODUCT,2018
73,32,Male,LEIPZIG,IOS DEVELOPER,3.0,SENIOR,48000.0,English,100-1000,AGENCY,2018
74,26,Male,MÜNCHEN,ANDROID DEVELOPER,4.0,MIDDLE,66000.0,English,1000+,AGENCY,2018
75,33,Male,FRANKFURT,TECHNICAL LEAD,10.0,SENIOR,95000.0,Deutsch,1000+,PRODUCT,2018
76,28,Male,MÜNCHEN,FRONTEND DEV,8.0,MIDDLE,61000.0,English,100-1000,PRODUCT,2018
77,31,Male,BERLIN,TECHNICAL PRODUCT MANAGER,1.0,MIDDLE,65000.0,English,100-1000,STARTUP,2018
78,29,Male,BERLIN,JAVASCRIPT SOFTWARE DEVELOPER,5.0,MIDDLE,55000.0,English,10-50,STARTUP,2018
79,29,Male,MÜNCHEN,JAVA DEVELOPER,8.0,SENIOR,72000.0,Russian,100-1000,PRODUCT,2018
80,33,Male,BERLIN,JAVA DEVELOPER,8.5,MIDDLE,90000.0,English,1000+,PRODUCT,2018
81,31,Male,BERLIN,DEVOPS,12.0,SENIOR,60000.0,English,50-100,STARTUP,2018
82,32,Male,MÜNCHEN,JAVA DEVELOPER,5.0,MIDDLE,60000.0,English,100-1000,PRODUCT,2018
83,27,Male,BERLIN,DEVOPS ENGINEER,10.0,SENIOR,87000.0,English,100-1000,PRODUCT,2018
84,30,Male,BERLIN,IOS DEVELOPER,6.0,SENIOR,70000.0,English,100-1000,PRODUCT,2018
85,32,Female,MÜNCHEN,GRAPHIC DESIGNER,8.0,MIDDLE,30000.0,English,up to 10,STARTUP,2018
86,34,Female,BERLIN,MANAGER,5.0,MIDDLE,55000.0,English,100-1000,STARTUP,2018
87,24,Male,MÜNCHEN,FRONTEND DEVELOPER,3.0,MIDDLE,57000.0,English,1000+,PRODUCT,2018
88,44,Male,MÜNCHEN,PROJECT MANAGER,14.0,SENIOR,73000.0,Russian,50-100,PRODUCT,2018
89,37,Male,BERLIN,SENIOR/LEAD DEVELOPER,15.0,SENIOR,85000.0,English,up to 10,STARTUP,2018
90,32,Male,STUTTGART,SENIOR QA,4.0,SENIOR,65000.0,English,1000+,AGENCY,2018
91,32,Male,STUTTGART,SENIOR QA,4.0,SENIOR,65000.0,English,1000+,AGENCY,2018
92,33,Male,BERLIN,TECHNICAL PRODUCT MANAGER,8.5,SENIOR,58000.0,English,100-1000,STARTUP,2018
93,36,Male,BERLIN,MOBILE LEAD,14.0,SENIOR,82000.0,English,100-1000,PRODUCT,2018
94,34,Male,BERLIN,SOFTWARE ENGINEER,10.0,SENIOR,67000.0,English,100-1000,PRODUCT,2018
95,31,Male,BERLIN,FRONTEND DEVELOPER,12.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
96,25,Male,MÜNCHEN,SOFTWARE DEVELOPER,3.0,MIDDLE,62000.0,English,100-1000,OUTSOURCE,2018
97,28,Male,BERLIN,FRONTEND ENGINEER,6.0,SENIOR,62000.0,English,50-100,STARTUP,2018
98,38,Male,BERLIN,FRONT-END DEVELOPER,19.0,SENIOR,83000.0,English,100-1000,PRODUCT,2018
99,32,Female,BERLIN,DATA ENGINEER,10.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
100,22,Male,BERLIN,DATA SCIENTIST,2.0,MIDDLE,50000.0,English,50-100,STARTUP,2018
101,37,Male,MÜNCHEN,HEAD OF PRODUCT ,8.0,SENIOR,100000.0,English,50-100,AGENCY,2018
102,32,Male,BERLIN,RESEARCH ENGINEER,10.0,MIDDLE,75000.0,English,1000+,PRODUCT,2018
103,40,Male,BERLIN,PHP BACKEND DEVELOPER,18.0,SENIOR,69000.0,English,50-100,AGENCY,2018
104,24,Male,BERLIN,JAVA DEVELOPER,3.0,MIDDLE,50000.0,English,100-1000,PRODUCT,2018
105,36,Male,BERLIN,SW DEVELOPER,10.0,MIDDLE,73000.0,English,50-100,STARTUP,2018
106,35,Male,BERLIN,SENIOR ENGINEER (PHP),15.0,SENIOR,120000.0,English,1000+,PRODUCT,2018
107,28,Male,FRANKFURT,WEBDEV,5.0,SENIOR,50000.0,English,10-50,PRODUCT,2018
108,32,Male,MÜNCHEN,WEB DEVELOPER ,3.0,MIDDLE,58000.0,Deutsch,1000+,PRODUCT,2018
109,33,Male,BERLIN,JAVA DEVELOPER,11.0,SENIOR,65000.0,Deutsch,50-100,PRODUCT,2018
110,36,Female,MÜNCHEN,QA ,3.0,MIDDLE,30000.0,English,10-50,PRODUCT,2018
111,32,Male,BERLIN,MACHINE LEARNING ENGINEER,8.5,SENIOR,80000.0,English,up to 10,STARTUP,2018
112,32,Male,BERLIN,FRONTEND DEVELOPER,10.0,SENIOR,70000.0,English,50-100,STARTUP,2018
113,32,Male,MÜNCHEN,DATA SCIENTIST,4.0,SENIOR,65000.0,English,50-100,PRODUCT,2018
114,31,Male,BERLIN,SOFTWARE ARCHITECT,12.0,SENIOR,78600.0,English,100-1000,PRODUCT,2018
115,34,Male,BERLIN,PRINCIPAL SOFTWARE ENGINEER,13.0,SENIOR,70000.0,English,10-50,PRODUCT,2018
116,32,Male,AMSTERDAM,FRONTEND DEVELOPER,5.0,SENIOR,60000.0,English,1000+,PRODUCT,2018
117,32,Male,BERLIN,SENIOR JAVASCRIPT ENGINEER,6.0,SENIOR,78000.0,English,100-1000,STARTUP,2018
118,34,Male,BERLIN,ENGINEERING MANAGER,17.0,SENIOR,70000.0,English,50-100,STARTUP,2018
119,32,Male,LUXEMBOURG,SDE,8.0,MIDDLE,89000.0,English,1000+,PRODUCT,2018
120,27,Female,MÜNCHEN,PYTHON DEV,0.5,JUNIOR,60000.0,English,50-100,PRODUCT,2018
121,31,Female,MÜNCHEN,QA ENGINEER ,5.0,MIDDLE,60000.0,English,50-100,PRODUCT,2018
122,32,Male,BERLIN,ANDROID DEVELOPER ,9.0,SENIOR,72000.0,English,1000+,PRODUCT,2018
123,32,Male,MÜNCHEN,WEB DESIGNER,3.0,MIDDLE,43000.0,Deutsch,50-100,PRODUCT,2018
124,27,Male,BERLIN,SENIOR SOFTWARE ENGINEER ,7.0,SENIOR,72000.0,English,1000+,PRODUCT,2018
125,30,Male,BERLIN,SENIOR BACKEND DEVELOPER,7.0,SENIOR,65000.0,English,1000+,STARTUP,2018
126,34,Male,BERLIN,AGILE COACH,5.0,SENIOR,85000.0,English,1000+,AGENCY,2018
127,30,Male,BERLIN,QA,8.0,SENIOR,55000.0,English,50-100,PRODUCT,2018
128,24,Male,BERLIN,MTS,4.0,MIDDLE,65000.0,English,100-1000,STARTUP,2018
129,28,Female,BERLIN,FRONTEND DEVELOPER,4.0,MIDDLE,56000.0,English,1000+,PRODUCT,2018
130,39,Male,BERN, .NET DEVELOPER,10.0,SENIOR,107000.0,Deutsch,100-1000,PRODUCT,2018
131,29,Male,BERLIN,PYTHON DEVELOPER,3.0,MIDDLE,60000.0,English,100-1000,PRODUCT,2018
132,34,Male,MÜNCHEN,ANDROID DEVELOPER,7.0,SENIOR,70000.0,English,100-1000,STARTUP,2018
133,30,Male,BERLIN,EMBEDDED DEVELOPER,6.0,MIDDLE,60000.0,English,100-1000,PRODUCT,2018
134,35,Male,BERLIN,.NET DEVELOPER,15.0,SENIOR,62000.0,English,100-1000,PRODUCT,2018
135,37,Male,BERLIN,SENIOUR SOFTWARE DEVELOPER,14.0,SENIOR,78000.0,English,10-50,STARTUP,2018
136,25,Male,FRANKFURT,JUNIOR IT MANAGER,8.5,JUNIOR,60000.0,English,1000+,INDUSTRY,2018
137,37,Male,BERLIN,FULL STACK DEVELOPER ,15.0,SENIOR,54000.0,English,10-50,PRODUCT,2018
138,27,Female,BERLIN,IT PROJECT MANAGER,4.0,MIDDLE,46000.0,Deutsch,100-1000,E-COMMERCE FIRM,2018
139,30,Male,BONN,BUSINESS ANALYST,7.0,MIDDLE,64000.0,English,1000+,PRODUCT,2018
140,33,Male,BERLIN,FULLSTACK DEVELOPER,10.0,SENIOR,65000.0,English,10-50,PRODUCT,2018
141,32,Male,BERLIN,FRONTENT DEVELOPER,5.0,MIDDLE,58000.0,English,10-50,STARTUP,2018
142,32,Male,MÜNCHEN,SENIOR JAVA DEVELOPER,13.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
143,30,Male,FRANKFURT,SOFTWARE DEVELOPER,8.0,SENIOR,95000.0,English,100-1000,PRODUCT,2018
144,27,Female,BERLIN,ANDROID DEVELOPER,5.0,MIDDLE,60000.0,English,100-1000,PRODUCT,2018
145,28,Male,MÜNCHEN,SOFTWARE DEVELOPER,6.0,MIDDLE,53000.0,English,100-1000,PRODUCT,2018
146,30,Male,BERLIN,SOFTWARE ENGINEER,3.0,MIDDLE,69000.0,English,1000+,PRODUCT,2018
147,39,Male,BERLIN,SCALA DEVELOPER,20.0,SENIOR,84000.0,English,1000+,PRODUCT,2018
148,26,Male,BERLIN,UX/UI DESIGNER,5.0,SENIOR,52000.0,English,10-50,STARTUP,2018
149,32,Male,MÜNCHEN,SENIOR JAVA,12.0,SENIOR,85000.0,English,10-50,PRODUCT,2018
150,30,Male,BERLIN,SRE,7.0,SENIOR,75000.0,English,50-100,PRODUCT,2018
151,32,Male,MÜNCHEN,DEVELOPER,6.0,SENIOR,63000.0,English,100-1000,PRODUCT,2018
152,39,Male,BERLIN,DBA,17.0,SENIOR,87000.0,English,1000+,PRODUCT,2018
153,35,Female,BERLIN,SOFTWARE ENGINEER,14.0,SENIOR,65000.0,English,10-50,STARTUP,2018
154,30,Female,BERLIN,COMPUTATIONAL LINGUIST,3.0,MIDDLE,50400.0,English,10-50,STARTUP,2018
155,26,Male,BERLIN,SOFTWARE ENGINEER,6.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
156,32,Male,HAMBURG,SAP BASIS ADMINISTRATOR,19.0,SENIOR,85000.0,Deutsch,1000+,PRODUCT,2018
157,27,Male,BERLIN,DATA SCIENTIST,2.5,SENIOR,66000.0,English,100-1000,STARTUP,2018
158,43,Female,MÜNCHEN,PROGRAMMIERER/CONSULTANT,0.5,JUNIOR,32000.0,Deutsch,10-50,PRODUCT,2018
159,42,Male,MÜNCHEN,JAVA DEVELOPER,15.0,MIDDLE,42000.0,Deutsch,10-50,PRODUCT,2018
160,31,Male,BERLIN,FULL STACK ENGINEER,11.0,SENIOR,65000.0,English,100-1000,PRODUCT,2018
161,34,Male,BERLIN,SOFTWARE ENGINEER,8.0,MIDDLE,74000.0,English,1000+,STARTUP,2018
162,32,Male,BERLIN,JAVA DEVELOPER,10.0,SENIOR,75000.0,English,100-1000,STARTUP,2018
163,30,Male,MÜNCHEN,SOFTWARE ENGINEER,8.0,SENIOR,72500.0,English,100-1000,PRODUCT,2018
164,37,Male,BERLIN,DATABASE ADMINISTRATOR,7.0,SENIOR,53000.0,Deutsch,100-1000,PRODUCT,2018
165,32,Male,FRANKFURT,SENIOR SOFTWARE ENGINEER,13.0,SENIOR,102000.0,English,100-1000,PRODUCT,2018
166,27,Male,HAMBURG,FRONTEND DEVELOPER,11.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
167,30,Male,BERLIN,SOFTWARE ENGINEER JAVASCTIPT,10.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
168,33,Male,BERLIN,PM,15.0,SENIOR,85000.0,English,1000+,PRODUCT,2018
169,38,Male,KÖLN,JAVA DEVELOPER,12.0,SENIOR,60000.0,Deutsch,10-50,CONSULTING,2018
170,35,Male,BERLIN,DEVELOPER,9.0,SENIOR,60000.0,English,up to 10,STARTUP,2018
171,36,Male,BERLIN,HEAD OF ENGINEERING,15.0,SENIOR,85000.0,Deutsch,10-50,PRODUCT,2018
172,25,Male,BERLIN,ANDROID DEVELOPER,5.0,MIDDLE,50000.0,English,10-50,STARTUP,2018
173,32,Male,BERLIN,PRODUCT MANAGER,5.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
174,35,Male,KÖLN,ANGULAR,5.0,MIDDLE,35000.0,English,1000+,PRODUCT,2018
175,29,Male,MÜNCHEN,SENIOR ANDROID DEVELOPER,8.0,SENIOR,75000.0,English,50-100,AGENCY,2018
176,30,Female,BERLIN,FULL STACK DEVELOPER,4.0,MIDDLE,58000.0,English,10-50,PRODUCT,2018
177,33,Male,BERLIN,SOFTWARE DEVELOPER,12.0,SENIOR,75000.0,English,1000+,INTERNAL DEVELOPMENT FOR A NON-IT COMPANY,2018
178,30,Male,BADEN-WÜRTTEMBERG ,MOBILE DEVELOPER,8.0,SENIOR,70000.0,English,10-50,STARTUP,2018
179,30,Male,BERLIN,PHP DEVELOPER,11.0,SENIOR,65000.0,English,50-100,STARTUP,2018
180,31,Female,BERLIN,SOFTWARE ENGINEER,8.0,SENIOR,55800.0,Deutsch,1000+,PRODUCT,2018
181,26,Male,BERLIN,AUTOMATION QA,4.0,MIDDLE,55000.0,English,1000+,PRODUCT,2018
182,27,Male,BERLIN,FRONTEND DEVELOPER,5.0,MIDDLE,55000.0,English,1000+,PRODUCT,2018
183,34,Male,BERLIN,ANDROID DEVELOPER,7.0,SENIOR,70000.0,Deutsch,100-1000,PRODUCT,2018
184,35,Male,BERLIN,PHP DEVELOPER,12.0,SENIOR,63000.0,English,100-1000,PRODUCT,2018
185,29,Male,BERLIN,DATA SCIENTIST,8.0,SENIOR,115000.0,English,1000+,PRODUCT,2018
186,28,Male,MÜNCHEN,SOFTWARE ENGINEER (ANDROID),2.0,MIDDLE,52000.0,Deutsch,100-1000,AGENCY,2018
187,39,Male,FRANKFURT,SAP CONSULTANT,13.0,SENIOR,176000.0,English,1000+,PRODUCT,2018
